url,member,sha256,reusesBody,rows,values,sites,blocks,first,last
https://www.ercot.com/files/docs/2015/09/23/ercot_wind_shapes_updates_1997_2013_new_2014.zip,ERCOT_onshore_2011.CSV,9ba7098e5925ef31a35f7eca6b215d30905b71099ca89a35e3cc0f942e49f088,,17514,1997262,228,2,"[""2011-01-01"", 0]","[""2011-12-31"", 2300]"
https://www.ercot.com/files/docs/2015/09/23/ercot_wind_shapes_updates_1997_2013_new_2014.zip,ERCOT_onshore_2012.CSV,be8afea517147cef150b6c623baaab0c7c89cfd59e27eb83dfd8e8a921f12870,,17538,2002662,228,2,"[""2012-01-01"", 0]","[""2012-12-31"", 2300]"
https://www.ercot.com/files/docs/2015/09/23/ercot_wind_shapes_updates_1997_2013_new_2014.zip,ERCOT_onshore_2013.CSV,196261b7465a280ed7cf83ad9b1a2b39d7d91e3e2fd338e12d4a830b3bb43a04,,17508,1995912,228,2,"[""2013-01-01"", 0]","[""2013-12-31"", 1700]"
https://www.ercot.com/files/docs/2015/09/23/ercot_wind_shapes_updates_1997_2013_new_2014.zip,ERCOT_onshore_2014.CSV,ba8932e72637884040447ca74b286f6db9bd3ee5f716d7a1d7c78215975b4bc5,,8754,1969650,225,1,"[""2014-01-01"", 0]","[""2014-12-31"", 1700]"
https://www.ercot.com/files/docs/2015/09/23/ercot_wind_shapes_updates_1997_2013_new_2014.zip,ERCOT_offshore_1997.CSV,f215ac08f400752bf8f00e37550e5a3f774a6940394873093ffef3aaa0de5a12,,8760,26280,3,1,"[""1997-01-01"", 0]","[""1997-12-31"", 2300]"
https://www.ercot.com/files/docs/2015/09/23/ercot_wind_shapes_updates_1997_2013_new_2014.zip,ERCOT_offshore_1998.CSV,409c99803c74f0748364e503c144f7a3523158831e69bbc5a04ce969f209c118,,8760,26280,3,1,"[""1998-01-01"", 0]","[""1998-12-31"", 2300]"
https://www.ercot.com/files/docs/2015/09/23/ercot_wind_shapes_updates_1997_2013_new_2014.zip,ERCOT_offshore_1999.CSV,b75289b17d915a8db8d1274afc1b5f4ed12ef213f63b411fab534a164adccfc6,,8760,26280,3,1,"[""1999-01-01"", 0]","[""1999-12-31"", 2300]"
https://www.ercot.com/files/docs/2015/09/23/ercot_wind_shapes_updates_1997_2013_new_2014.zip,ERCOT_offshore_2000.CSV,f0ec45a04f680248ed1f9f43a82edd0a2510b423cf1ca72d26035dcc88691c88,,8784,26352,3,1,"[""2000-01-01"", 0]","[""2000-12-31"", 2300]"
https://www.ercot.com/files/docs/2015/09/23/ercot_wind_shapes_updates_1997_2013_new_2014.zip,ERCOT_offshore_2001.CSV,5ca25fae285ef2ea1d84b33b0aaebc8d0682453c4552b978e55c29e63373e283,,8760,26280,3,1,"[""2001-01-01"", 0]","[""2001-12-31"", 2300]"
https://www.ercot.com/files/docs/2015/09/23/ercot_wind_shapes_updates_1997_2013_new_2014.zip,ERCOT_offshore_2002.CSV,7123c93bea72ff0f893993a77e69af70b13818bdeaa03fe8e05496ada460b984,,8760,26280,3,1,"[""2002-01-01"", 0]","[""2002-12-31"", 2300]"
