"Survey Name","Posting Type","Balancing Authority Code","Interconnected Balancing Authority Code","Type","Posted Date","UTCOffset","HR1","HR2","HR3","HR4","HR5","HR6","HR7","HR8","HR9","HR10","HR11","HR12","HR13","HR14","HR15","HR16","HR17","HR18","HR19","HR20","HR21","HR22","HR23","HR24","HR25"
"EIA-930","Daily","ERCO","","UTC1","0392015","6","2015-02-08T07:00:00.000Z","2015-02-08T08:00:00.000Z","2015-02-08T09:00:00.000Z","2015-02-08T10:00:00.000Z","2015-02-08T11:00:00.000Z","2015-02-08T12:00:00.000Z","2015-02-08T13:00:00.000Z","2015-02-08T14:00:00.000Z","2015-02-08T15:00:00.000Z","2015-02-08T16:00:00.000Z","2015-02-08T17:00:00.000Z","2015-02-08T18:00:00.000Z","2015-02-08T19:00:00.000Z","2015-02-08T20:00:00.000Z","2015-02-08T21:00:00.000Z","2015-02-08T22:00:00.000Z","2015-02-08T23:00:00.000Z","2015-02-08T24:00:00.000Z","2015-02-09T01:00:00.000Z","2015-02-09T02:00:00.000Z","2015-02-09T03:00:00.000Z","2015-02-09T04:00:00.000Z","2015-02-09T05:00:00.000Z","2015-02-09T06:00:00.000Z",""
"EIA-930","Daily","ERCO","","D","0392015","6","28241","27450","26988","26783","27011","27554","28566","29406","30379","31032","31185","31021","30843","30669","30641","30733","31034","31629","33552","34495","33754","32553","30463","28114",""
"EIA-930","Daily","ERCO","","NG","0392015","6","28388","27548","27364","26890","27112","27558","28605","29391","30358","31105","31333","31175","30993","30827","30800","30893","31098","31688","33322","34235","33028","32478","30325","28018",""
"EIA-930","Daily","ERCO","","TI","0392015","6","161","104","379","105","98","-4","28","-23","-31","69","149","155","155","157","160","158","57","49","-258","-257","-716","-56","-113","-70",""
"EIA-930","Daily","ERCO","","UTC0","0402015","6","2015-02-09T07:00:00.000Z","2015-02-09T08:00:00.000Z","2015-02-09T09:00:00.000Z","2015-02-09T10:00:00.000Z","2015-02-09T11:00:00.000Z","2015-02-09T12:00:00.000Z","2015-02-09T13:00:00.000Z","2015-02-09T14:00:00.000Z","2015-02-09T15:00:00.000Z","2015-02-09T16:00:00.000Z","2015-02-09T17:00:00.000Z","2015-02-09T18:00:00.000Z","2015-02-09T19:00:00.000Z","2015-02-09T20:00:00.000Z","2015-02-09T21:00:00.000Z","2015-02-09T22:00:00.000Z","2015-02-09T23:00:00.000Z","2015-02-09T24:00:00.000Z","2015-02-10T01:00:00.000Z","2015-02-10T02:00:00.000Z","2015-02-10T03:00:00.000Z","2015-02-10T04:00:00.000Z","2015-02-10T05:00:00.000Z","2015-02-10T06:00:00.000Z",""
"EIA-930","Daily","ERCO","","DF","0402015","6","26231","25290","24949","25220","26381","29264","34005","35830","35100","34695","34622","34451","34336","34472","34501","34709","34621","35067","36216","36106","35447","34220","32151","29751",""
"EIA-930","Daily","ERCO","","UTC2","0382015","6","2015-02-07T07:00:00.000Z","2015-02-07T08:00:00.000Z","2015-02-07T09:00:00.000Z","2015-02-07T10:00:00.000Z","2015-02-07T11:00:00.000Z","2015-02-07T12:00:00.000Z","2015-02-07T13:00:00.000Z","2015-02-07T14:00:00.000Z","2015-02-07T15:00:00.000Z","2015-02-07T16:00:00.000Z","2015-02-07T17:00:00.000Z","2015-02-07T18:00:00.000Z","2015-02-07T19:00:00.000Z","2015-02-07T20:00:00.000Z","2015-02-07T21:00:00.000Z","2015-02-07T22:00:00.000Z","2015-02-07T23:00:00.000Z","2015-02-07T24:00:00.000Z","2015-02-08T01:00:00.000Z","2015-02-08T02:00:00.000Z","2015-02-08T03:00:00.000Z","2015-02-08T04:00:00.000Z","2015-02-08T05:00:00.000Z","2015-02-08T06:00:00.000Z",""
"EIA-930","Daily","ERCO","DC_E","DIBA","0382015","6","-30","-124","-129","-34","-29","-31","-67","-73","-119","-242","-287","-212","-180","-33","-25","-23","-23","42","41","38","7","-32","88","112",""
"EIA-930","Daily","ERCO","DC_L","DIBA","0382015","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"EIA-930","Daily","ERCO","DC_N","DIBA","0382015","6","0","0","0","0","12","-23","-26","-170","-123","-212","-215","29","2","0","0","72","50","75","76","76","60","72","76","76",""
"EIA-930","Daily","ERCO","DC_R","DIBA","0382015","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"EIA-930","Daily","ERCO","DC_S","DIBA","0382015","6","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5",""
