reader,source,member,sourceSha256,bytes,sourceRows,rowsDecoded
np3-560-cd/7d_load_fcast_by_fzn,work/history-middle-2020/NP3-560-CD.zip/698822255.cdr.00012311.0000000000000000.20200131.233001.LFCCONGESTNP3560_csv.zip,cdr.00012311.0000000000000000.20200131.233000.LFCCONGESTNP3560.csv,6609c47d4a9baeb48790cc32acdfb55336c7f3bc996a1eafbe9df309140216a4,23380,192,192
np3-908-er/2d_agg_dam_min_esc_west,work/history-middle-2020/NP3-908-ER.zip/698694258.ext.00013054.0000000000000000.20200131.033445026.2_Day_DAM_and_SCED_Energy_Curves.zip,2d_Agg_Min_Energy_Supply_Curves_West-31-JAN-20.csv,d7252778d11d06d8d8e79a96da94d18a10b7c8d7747b10dbbb14c6c7efa6ea7f,9510,307,307
np3-908-er/2d_agg_dam_min_esc_south,work/history-middle-2020/NP3-908-ER.zip/698694258.ext.00013054.0000000000000000.20200131.033445026.2_Day_DAM_and_SCED_Energy_Curves.zip,2d_Agg_Min_Energy_Supply_Curves_South-31-JAN-20.csv,7c582f6ef4d27972c58803ddd25885e82edc229dfdade6a3e8fc0d66ed1be48c,23889,721,721
np3-908-er/2d_agg_dam_min_esc_north,work/history-middle-2020/NP3-908-ER.zip/698694258.ext.00013054.0000000000000000.20200131.033445026.2_Day_DAM_and_SCED_Energy_Curves.zip,2d_Agg_Min_Energy_Supply_Curves_North-31-JAN-20.csv,0c50e329c4cfbdd2aacf45b7a3af737069b4101ad1c03b0a276fc86d07006ef0,30706,950,950
np3-908-er/2d_agg_dam_min_esc_houston,work/history-middle-2020/NP3-908-ER.zip/698694258.ext.00013054.0000000000000000.20200131.033445026.2_Day_DAM_and_SCED_Energy_Curves.zip,2d_Agg_Min_Energy_Supply_Curves_Houston-31-JAN-20.csv,7adadbcf23c706bf472817ad29e8c55567426e6cb6fee65864c78298342931b3,9476,302,302
np3-908-er/2d_agg_dam_min_esc,work/history-middle-2020/NP3-908-ER.zip/698694258.ext.00013054.0000000000000000.20200131.033445026.2_Day_DAM_and_SCED_Energy_Curves.zip,2d_Agg_Min_Energy_Supply_Curves-31-JAN-20.csv,8d30422f0863e597860cafccb2401540626f2fa05b084343efbafe784ea51c3a,71494,2142,2142
np3-908-er/2d_agg_esc_nonirr,work/history-middle-2020/NP3-908-ER.zip/698694258.ext.00013054.0000000000000000.20200131.033445026.2_Day_DAM_and_SCED_Energy_Curves.zip,2d_Agg_Supply_Curves_Non_IRR-31-JAN-20.csv,39600d16de8a324065ab9110ce4eaf10035d41a398fe91a5cbc78ea4a853259f,44166883,888096,888096
np3-908-er/2d_agg_esc_wind,work/history-middle-2020/NP3-908-ER.zip/698694258.ext.00013054.0000000000000000.20200131.033445026.2_Day_DAM_and_SCED_Energy_Curves.zip,2d_Agg_Supply_Curves_Wind-31-JAN-20.csv,e3d8b482a54d8e70551a29f519368589cdde05901a2a084f7a75f5e4206759ab,43337176,888096,888096
np3-908-er/2d_agg_dam_esc,work/history-middle-2020/NP3-908-ER.zip/698694258.ext.00013054.0000000000000000.20200131.033445026.2_Day_DAM_and_SCED_Energy_Curves.zip,2d_Agg_Energy_Supply_Curves-31-JAN-20.csv,4a7041c993723d6038564b54810f5df6e1daee479baca78f59ca65b65febcff4,9140207,222024,222024
np3-908-er/2d_agg_esc_wind_west,work/history-middle-2020/NP3-908-ER.zip/698694258.ext.00013054.0000000000000000.20200131.033445026.2_Day_DAM_and_SCED_Energy_Curves.zip,2d_Agg_Supply_Curves_Wind_West-31-JAN-20.csv,9c886d04e2034b50ea053a515409d1e119782789c6b6b49ab287fcf51cae5a02,43182399,888096,888096
np3-908-er/2d_agg_esc_wind_south,work/history-middle-2020/NP3-908-ER.zip/698694258.ext.00013054.0000000000000000.20200131.033445026.2_Day_DAM_and_SCED_Energy_Curves.zip,2d_Agg_Supply_Curves_Wind_South-31-JAN-20.csv,a7a6f4e15794ea846ecdaa603632a45791ab99cbeff19d6d8207cf382272ea63,42829749,888096,888096
np3-908-er/2d_agg_esc_wind_north,work/history-middle-2020/NP3-908-ER.zip/698694258.ext.00013054.0000000000000000.20200131.033445026.2_Day_DAM_and_SCED_Energy_Curves.zip,2d_Agg_Supply_Curves_Wind_North-31-JAN-20.csv,29c03483e72054bc3f63886a9a0af04511d47c3499c077997e780af0d98c8601,42220664,888096,888096
np3-908-er/2d_agg_esc_wind_houston,work/history-middle-2020/NP3-908-ER.zip/698694258.ext.00013054.0000000000000000.20200131.033445026.2_Day_DAM_and_SCED_Energy_Curves.zip,2d_Agg_Supply_Curves_Wind_Houston-31-JAN-20.csv,ad398754da5f6d4b23f60d8d599411535dd5f20a3e68efffedd1d5d9bb3748fd,41217506,888096,888096
np3-908-er/2d_agg_esc_nonirr_west,work/history-middle-2020/NP3-908-ER.zip/698694258.ext.00013054.0000000000000000.20200131.033445026.2_Day_DAM_and_SCED_Energy_Curves.zip,2d_Agg_Supply_Curves_Non_IRR_West-31-JAN-20.csv,a2f35349efe3ac536b5bca3f399be85b7337ac029d06c1563f1cb14bb2fc2e00,43059293,888096,888096
np3-908-er/2d_agg_esc_nonirr_south,work/history-middle-2020/NP3-908-ER.zip/698694258.ext.00013054.0000000000000000.20200131.033445026.2_Day_DAM_and_SCED_Energy_Curves.zip,2d_Agg_Supply_Curves_Non_IRR_South-31-JAN-20.csv,9bb3cd7a4bab32cc1857d89423fee9332c298647ec6c7d45c210ff77c70e3f9c,44037925,888096,888096
np3-908-er/2d_agg_esc_nonirr_north,work/history-middle-2020/NP3-908-ER.zip/698694258.ext.00013054.0000000000000000.20200131.033445026.2_Day_DAM_and_SCED_Energy_Curves.zip,2d_Agg_Supply_Curves_Non_IRR_North-31-JAN-20.csv,5eaaa82d819e869be2c7818283f34bdeae77bfee08a9b38271115646ae17efc5,44144799,888096,888096
np3-908-er/2d_agg_esc_nonirr_houston,work/history-middle-2020/NP3-908-ER.zip/698694258.ext.00013054.0000000000000000.20200131.033445026.2_Day_DAM_and_SCED_Energy_Curves.zip,2d_Agg_Supply_Curves_Non_IRR_Houston-31-JAN-20.csv,025e86b7acd8c1825ed726692e8f7b510213ff7b4b4433d4abff8a9fd90041d4,43073076,888096,888096
np3-908-er/2d_agg_dam_esc_west,work/history-middle-2020/NP3-908-ER.zip/698694258.ext.00013054.0000000000000000.20200131.033445026.2_Day_DAM_and_SCED_Energy_Curves.zip,2d_Agg_Energy_Supply_Curves_West-31-JAN-20.csv,d0bad9cc1ecd0a3133e89beab0db1a4c306262167c0c878466f00ee031235920,8927969,222024,222024
np3-908-er/2d_agg_dam_esc_south,work/history-middle-2020/NP3-908-ER.zip/698694258.ext.00013054.0000000000000000.20200131.033445026.2_Day_DAM_and_SCED_Energy_Curves.zip,2d_Agg_Energy_Supply_Curves_South-31-JAN-20.csv,70f3fdb829bcae87e7a827ab07f474a552ae5947cdf76e0e21587afcd07c9475,9120719,222024,222024
np3-908-er/2d_agg_dam_esc_north,work/history-middle-2020/NP3-908-ER.zip/698694258.ext.00013054.0000000000000000.20200131.033445026.2_Day_DAM_and_SCED_Energy_Curves.zip,2d_Agg_Energy_Supply_Curves_North-31-JAN-20.csv,7708019ab86d0ee35bcc6df01ef938eebd7f0d6d4ad56536ac65494ecbc473d8,9114703,222024,222024
np3-908-er/2d_agg_dam_esc_houston,work/history-middle-2020/NP3-908-ER.zip/698694258.ext.00013054.0000000000000000.20200131.033445026.2_Day_DAM_and_SCED_Energy_Curves.zip,2d_Agg_Energy_Supply_Curves_Houston-31-JAN-20.csv,37a1f181f7cd1de1eb49317bba826cfa5f7fe65589db6707bda53a1cb93e9bed,8903271,222024,222024
np3-908-er/2d_agg_edc_clr,work/history-middle-2020/NP3-908-ER.zip/698694258.ext.00013054.0000000000000000.20200131.033445026.2_Day_DAM_and_SCED_Energy_Curves.zip,2d_Agg_Energy_Demand_Curves_CLR-31-JAN-20.csv,d0c182dff23ac8ba56406159fb506f1981f58ac7e19409017958c790abf2a11c,52,0,0
np3-908-er/2d_agg_dam_edc_west,work/history-middle-2020/NP3-908-ER.zip/698694258.ext.00013054.0000000000000000.20200131.033445026.2_Day_DAM_and_SCED_Energy_Curves.zip,2d_Agg_Energy_Demand_Curves_West-31-JAN-20.csv,35a08e95115462d1891dac94dd4274d98fb30edd7c8333227fb7fb7fda2d724d,6349411,187824,187824
np3-908-er/2d_agg_dam_edc_south,work/history-middle-2020/NP3-908-ER.zip/698694258.ext.00013054.0000000000000000.20200131.033445026.2_Day_DAM_and_SCED_Energy_Curves.zip,2d_Agg_Energy_Demand_Curves_South-31-JAN-20.csv,0cd3ee4214fef3261c878620c302cdeb518b8e63651bf2d0b632cda57a8e4ead,8807582,244800,244800
