url,file,reportMonth,sha256,bytes,projectRows,totalRows
https://www.ercot.com/files/docs/2018/09/07/Capacity_Changes_by_Fuel_Type_Charts_August_2018.xlsx,Capacity_Changes_by_Fuel_Type_Charts_August_2018.xlsx,2018-08-01,4aecd1de9a1b2ba4aa313eaab14b719bcbe37728247365f7dd9511118eaec67f,61337,87,77
https://www.ercot.com/files/docs/2018/10/02/Capacity_Changes_by_Fuel_Type_Charts_September_2018.xlsx,Capacity_Changes_by_Fuel_Type_Charts_September_2018.xlsx,2018-09-01,06e4e25504c71bff2a28193d7c23f21e8abde907e2e71496cd881c6863b1bc6c,70601,91,86
https://www.ercot.com/files/docs/2018/11/01/Capacity_Changes_by_Fuel_Type_Charts_October_2018.xlsx,Capacity_Changes_by_Fuel_Type_Charts_October_2018.xlsx,2018-10-01,d3a0ae654bd3dfc6367f81c1f3ea8a222483d43b7e760aa694429dcbb8284a27,73979,98,86
https://www.ercot.com/files/docs/2018/12/04/Capacity_Changes_by_Fuel_Type_Charts_November_2018.xlsx,Capacity_Changes_by_Fuel_Type_Charts_November_2018.xlsx,2018-11-01,3e450d89f54a232fdc985467a8e69c61d86cd1af55d09df37612849cfcf241cc,74113,100,86
https://www.ercot.com/files/docs/2018/12/11/Capacity_Changes_by_Fuel_Type_Charts_November_2018.xlsx,Capacity_Changes_by_Fuel_Type_Charts_November_2018.xlsx,2018-11-01,3e450d89f54a232fdc985467a8e69c61d86cd1af55d09df37612849cfcf241cc,74113,100,86
https://www.ercot.com/files/docs/2019/01/09/Capacity_Changes_by_Fuel_Type_Charts_December_2018.xlsx,Capacity_Changes_by_Fuel_Type_Charts_December_2018.xlsx,2018-12-01,8bdf23f280a9eef4f29141359dc30d59913ff0eea0860afd5b0259d1742f70a9,74877,103,88
https://www.ercot.com/files/docs/2019/02/06/CapacityChangesbyFuelTypeCharts_January_2019.xlsx,CapacityChangesbyFuelTypeCharts_January_2019.xlsx,2019-01-01,484e5becfcc8a319f8bec49ae784644344aab1d5ae8725bdc9463a397b003e2a,75538,107,91
https://www.ercot.com/files/docs/2019/03/11/Capacity_Changes_by_Fuel_Type_Charts_February_2019.xlsx,Capacity_Changes_by_Fuel_Type_Charts_February_2019.xlsx,2019-02-01,d21cac3d5910c92f2504bb6b47600336a65b9bef8f76e1b00f6d4e825325f56b,72922,115,91
https://www.ercot.com/files/docs/2019/04/05/Capacity_Changes_by_Fuel_Type_Charts_March_2019.xlsx,Capacity_Changes_by_Fuel_Type_Charts_March_2019.xlsx,2019-03-01,a8dbeaed680d732294c2377b0e7bf9caf069c770319536a6200913b31e8e9ebc,73324,115,91
https://www.ercot.com/files/docs/2019/05/06/Capacity_Changes_by_Fuel_Type_Charts_April_2019.xlsx,Capacity_Changes_by_Fuel_Type_Charts_April_2019.xlsx,2019-04-01,d967c022c13ab16814cc327f0837c71626c8dbb143024f0394b06c238f5117e4,73646,120,91
https://www.ercot.com/files/docs/2019/06/07/Capacity_Changes_by_Fuel_Type_Charts_May_2019.xlsx,Capacity_Changes_by_Fuel_Type_Charts_May_2019.xlsx,2019-05-01,b178f885edbb2355c3338ceac00ce56b1cc9da78bd7bc75eb438c18e74596906,77033,128,91
https://www.ercot.com/files/docs/2019/07/16/Capacity_Changes_by_Fuel_Type_Charts_June_2019.xlsx,Capacity_Changes_by_Fuel_Type_Charts_June_2019.xlsx,2019-06-01,c809198146c2a80c16b0a5ffcab7976f29b6fc8bccea1b7f6d2890693f9366f8,73406,133,89
https://www.ercot.com/files/docs/2019/08/14/Capacity_Changes_by_Fuel_Type_Charts_July_2019.xlsx,Capacity_Changes_by_Fuel_Type_Charts_July_2019.xlsx,2019-07-01,dbe6d3ad22fb07715548edb3588abc906740d98a9f4e8372ff2932f54b1de5c9,73792,141,89
https://www.ercot.com/files/docs/2019/09/16/Capacity_Changes_by_Fuel_Type_Charts_August_2019.xlsx,Capacity_Changes_by_Fuel_Type_Charts_August_2019.xlsx,2019-08-01,4408b7cb52f76d4c0a446d737403d5a8ba81bb3c51ff228f4d7b1598ca905617,73358,130,89
https://www.ercot.com/files/docs/2019/10/18/Capacity_Changes_by_Fuel_Type_Charts_September_2019.xlsx,Capacity_Changes_by_Fuel_Type_Charts_September_2019.xlsx,2019-09-01,d2aec4303c3f866f1e6cec8d5cdb93d64b3b6ca01efd5c54e405f74dc87e565c,72908,128,89
